time,operating_hours,fuel_consumption(liter),engine_id
2017-12-19,3726,3404.8,8331744407
2017-12-20,3746,3865.6,8331744407
2017-12-21,3748,3891.2,8331744407
2017-12-22,3768,3840,8331744407
2017-12-23,3776,3891.2,8331744407
2017-12-24,3786,3891.2,8331744407
2017-12-25,3796,3891.2,8331744407
2017-12-26,3807,3891.2,8331744407
2017-12-27,3822,3891.2,8331744407
2017-12-28,3840,3891.2,8331744407
2017-12-29,3855,3891.2,8331744407
2017-12-30,3855,3891.2,8331744407
2017-12-31,3894,3865.6,8331744407
2018-01-01,3896,3865.6,8331744407
2018-01-02,3905,3891.2,8331744407
2018-01-03,3912,3891.2,8331744407
2018-01-04,3929,3891.2,8331744407
2018-01-05,3947,3891.2,8331744407
2018-01-06,3965,3891.2,8331744407
2018-01-07,3983,3891.2,8331744407
2018-01-08,4002,3891.2,8331744407
2018-01-09,4021,3891.2,8331744407
2018-01-10,4033,3865.6,8331744407
2018-01-11,4052,3865.6,8331744407
2018-01-12,4068,3891.2,8331744407
2018-01-13,4080,3891.2,8331744407
2018-01-14,4092,3891.2,8331744407
2018-01-15,4101,3865.6,8331744407
2018-01-16,4118,3891.2,8331744407
2018-01-17,4128,3891.2,8331744407
2018-01-18,4143,3891.2,8331744407
2018-01-19,4148,3840,8331744407
2018-01-20,4148,3840,8331744407
2018-01-21,4148,3840,8331744407
2018-01-22,4148,3840,8331744407
2018-01-23,4148,3840,8331744407
2018-01-24,4148,3840,8331744407
2018-01-25,4148,3840,8331744407
2018-01-26,4148,3840,8331744407
2018-01-27,4148,3840,8331744407
2018-01-28,4148,3840,8331744407
2018-01-29,4148,3840,8331744407
2018-01-30,4148,3840,8331744407
2018-01-31,4348,3148.8,8331744407
2018-02-01,4364,3891.2,8331744407
2018-02-02,4383,3865.6,8331744407
2018-02-03,4401,3916.8,8331744407
2018-02-04,4420,3865.6,8331744407
2018-02-05,4433,3891.2,8331744407
2018-02-06,4452,3891.2,8331744407
2018-02-07,4470,3891.2,8331744407
2018-02-08,4489,3891.2,8331744407
2018-02-09,4508,3865.6,8331744407
2018-02-10,4527,3865.6,8331744407
2018-02-11,4546,3865.6,8331744407
2018-02-12,4565,3865.6,8331744407
2018-02-13,4585,3865.6,8331744407
2018-02-14,4604,3891.2,8331744407
2018-02-15,4624,3891.2,8331744407
2018-02-16,4635,3891.2,8331744407
2018-02-17,4635,3891.2,8331744407
2018-02-18,4635,3891.2,8331744407
2018-02-19,4635,3891.2,8331744407
2018-02-20,4635,3891.2,8331744407
2018-02-21,4635,3891.2,8331744407
2018-02-22,4635,3891.2,8331744407
2018-02-23,4635,3891.2,8331744407
2018-02-24,4635,3891.2,8331744407
2018-02-25,4635,3891.2,8331744407
2018-02-26,4635,3891.2,8331744407
2018-02-27,4635,3891.2,8331744407
2018-02-28,4858,3328,8331744407
2018-03-01,4877,3865.6,8331744407
2018-03-02,4888,3865.6,8331744407
2018-03-03,4907,3865.6,8331744407
2018-03-04,4925,3891.2,8331744407
2018-03-05,4944,3865.6,8331744407
2018-03-06,4964,3840,8331744407
2018-03-07,4980,3840,8331744407
2018-03-08,4992,3865.6,8331744407
2018-03-09,4994,3865.6,8331744407
2018-03-10,5010,3891.2,8331744407
2018-03-11,5029,3840,8331744407
2018-03-12,5047,3865.6,8331744407
2018-03-13,5065,3865.6,8331744407
